what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982203984
opened,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1225982212531
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1225982212625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982212656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982213625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982218375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1225982220968
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1225982223187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982224828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982227859
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.resources.ResourcesEditor,1225982229062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982229937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982256328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982258031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982259312
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225982262531
opened,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1225982263421
activated,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1225982263468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982270500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225982299718
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.resources.ResourcesEditor,1225982301953
closed,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1225982301953
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1225982303281
closed,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.resources.ResourcesEditor,1225982303296
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225982304953
