what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585219312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1224585225421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1224585225625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1224585225781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1224585226093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585230421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585233640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585248203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585250484
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224585252437
activated,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585252828
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1224585254421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224585262078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585263562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585271828
activated,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585273328
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1224585285390
closed,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585285406
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224585285875
opened,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585286031
activated,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585286078
activated,editor,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors.layout.LayoutEditor,1224585291625
closed,editor,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt.editors.java.ReadOnlyJavaEditor,1224585291640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585291875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224585391593
