what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673960640
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224673961015
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1224673961031
opened,view,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1224673961312
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1224673961343
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1224673961359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1224673961468
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224673962703
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1224673962906
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1224673965296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673965312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673966781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673970218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673973718
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1224673975343
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1224673975578
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1224673975578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673975750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673977515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673994843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673994859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673995484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224673995750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224674002343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224674003890
