what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors,1224676573343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676586921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676588796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676601046
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1224676601187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676602281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676608781
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1224676610671
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1224676613468
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1224676613468
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1224676613515
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1224676613515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676615703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676617125
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.cleanAction,1224676617125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676627562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676664078
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224676666046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676678000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676688828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676689812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676690343
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224676697265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676700062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224676725625
