what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225981086000
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981086218
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981086328
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981089953
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981089968
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1225981090750
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981090937
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981091062
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981096171
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981096171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981096656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981117609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981134796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981136031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981143609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981174906
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1225981178125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981181781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981185218
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1225981189625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981197859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981250046
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1225981252875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981253796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1225981259921
